richg@DESKTOP-VT63E5L:/mnt/d/dev/shufrand/shufrand$ ./shufrand_gen | dieharder -a -g 200
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  6.07e+07  |4255996872|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  21|   1000000|     100|0.30917277|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.46362297|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.13910114|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.28782007|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.49221194|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.82844850|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.86709085|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.11773170|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.84478472|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.97238748|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.30285934|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.89448230|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.05767914|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.00000320|   WEAK
             dab_dct| 256|     50000|       1|0.49742244|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.42751854|  PASSED
        dab_filltree|  32|  15000000|       1|0.33112875|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.71404258|  PASSED
       dab_filltree2|   1|   5000000|       1|0.11376079|  PASSED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.29680746|  PASSED
